id,name,url,image_path,category,tags,paid,code,r,python,html,css,js,,,,,desc
5,Dear Data,http://www.dear-data.com/theproject,https://images.squarespace-cdn.com/content/v1/54eec73ee4b0ae0904da0e94/1469459145010-6JB78NK8W94205NYCMBH/ke17ZwdGBToddI8pDm48kP9kbw7u83We3zdlhO4wu2p7gQa3H78H3Y0txjaiv_0faShnVfr-ySw9qgw5FxrvM5QQqCM9w82lPHqXEyFQjFa2KUe96QVoMtiPuBj3aBORrCLSIWAQvdC7iWmC9HNtRUD6Ec8Uq9YczfrzwR7e2MhRYSg5nMOrIIhdmaFo6yIuYk2vTHwCUL4lmQEySH_IBg/image-asset.jpeg?format=1500w,inspiration,,,,,,,,,,,,,"Each week, and for a year, we collected and measured a particular type of data about our lives, used this data to make a drawing on a postcard-sized sheet of paper, and then dropped the postcard in a mailbox."
1,Adobe XD,https://www.adobe.com/products/xd.html,https://cc-prod.scene7.com/is/image/CCProdAuthor/dt_xd_landingpageheader_cropped?$png$&jpegSize=200&wid=1120,tools,mockups,yes,,,,,,,,,,,"Share your story with designs that look and feel like the real thing. Wireframe, animate, prototype, collaborate, and more — it’s all right here, all in one place."
2,Data to Viz,https://www.data-to-viz.com/,https://www.data-to-viz.com/img/logo/tree-s.png,tools,,,,,,,,,,,,,"From Data to Viz leads you to the most appropriate graph for your data. It links to the code to build it and lists common caveats you should avoid.
"
3,The Monkey Cage,https://www.washingtonpost.com/monkey-cage/,https://www.washingtonpost.com/resizer/rWW9LeODx-1P7RkVJ3m7Hsf3yEs=/480x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/HZNJOQTEQMI6VCUOLRJTNMZHMA.jpg,news,politics,,,,,,,,,,,,"The Monkey Cage’s mission is to connect political scientists and the political conversation by creating a compelling forum, developing publicly focused scholars, and building an informed audience."
4,Invisible Climate,https://www.nytimes.com/interactive/2019/12/12/climate/texas-methane-super-emitters.html,https://static01.nyt.com/images/2019/12/03/climate/METHANE-Flight/merlin_164319306_875da711-7ee6-4f17-a3bb-57fcbdbc0144-superJumbo.jpg,news,"climate change, data viz",,,,,,,,,,,,"Immense amounts of methane are escaping from oil and gas sites nationwide, worsening global warming, even as the Trump administration weakens restrictions on offenders."
5,Hero Icons,https://heroicons.com/,https://heroicons.com/_next/static/media/social-card.c623b199d043ddf168d67e9b98a21a24.jpg,assets,icons,,,,,,,,,,,,"Beautiful hand-crafted SVG icons, by the makers of Tailwind CSS."
1,Nicholas Felton,http://feltron.com/index.html,http://feltron.com/images/Info/portrait2.jpg,inspiration,,,,,,,,,,,,,"Nicholas Felton is a designer, entrepreneur and artist whose work focuses on translating quotidian data into meaningful objects and experiences. "
2,Information is Beautiful,https://informationisbeautiful.net/,https://s3.amazonaws.com/infobeautiful-bnews/images/1313/1313-coal-free-britain.svg,inspiration,,,,,,,,,,,,,"Information is Beautiful is dedicated to helping you make clearer, more informed decisions about the world."
3,ggplot2,https://ggplot2.tidyverse.org/,https://bookdown.org/danieljcarter/r4steph/_main_files/figure-html/unnamed-chunk-4-1.png,tools,charts,,code,r,,,,,,,,,"You provide the data, tell ggplot2 how to map variables to aesthetics, what graphical primitives to use, and it takes care of the details."
4,Adobe Color,https://color.adobe.com/explore,https://blog.adobe.com/hlx_5d21133ff57265e4ab3b255c62b9798b29b8ab45.jpeg?width=1000&auto=webp,design,color palettes,,,,,,,,,,,,Be inspired by other creatives in curated Trend Galleries from Behance and Adobe Stock. Import photos and images to generate cohesive color palettes from your artwork.
5,Data & Society,https://datasociety.net/about/ ,https://pbs.twimg.com/profile_images/1167074285292261377/JMOLAeja_400x400.jpg,news,"platforms, politics, critical theory, data viz",,,,,,,,,,,,"We convene researchers, policymakers, technologists, journalists, entrepreneurs, artists, and lawyers to challenge the power and purpose of technology in society."
1,Fernanda Viégas & Martin Wattenberg,http://hint.fm/about/,http://hint.fm/covers/translate-interlingua.png,inspiration,,,,,,,,,,,,,"Fernanda Viégas and Martin Wattenberg are pioneers in data visualization and analytics. Their research has helped shape the field, and the systems they've built are used daily by millions of people."
2,Chart.js,https://www.chartjs.org/,https://www.chartjs.org/img/chartjs-logo.svg,tools,charts,,code,,,html,css,js,,,,,Simple yet flexible JavaScript charting for designers & developers
3,Learning data viz,https://www.visualcinnamon.com/resources/learning-data-visualization,https://d33wubrfki0l68.cloudfront.net/fcc735612eba629f0341d873fecf9464d8972b37/87872/img/resources/learning-dataviz/dataviz_books.jpg,inspiration,,,,,,,,,,,,,I went around searching for information on how you might become a data visualization designer/specialist. Especially if you do not have a degree in a field such as design.
4,Icons8,https://icons8.com/,https://maxst.icons8.com/vue-static/landings/primary-landings/banners/ouch@2x.png,assets,icons,,,,,,,,,,,,"Free icons, photos, vectors, music, and tools."
5,Calling Bullshit Syllabus,https://callingbullshit.org/syllabus.html,https://images1.penguinrandomhouse.com/cover/9780525509189,inspiration,"critical theory, digital humanities, data ethics",,,,,,,,,,,,Remain vigilant for bullshit contaminating your information diet.
1,Krisztina Szucs,krisztinaszucs.com,https://pbs.twimg.com/profile_images/1120314135923838976/JNkelG2f_400x400.png,inspiration,,,,,,,,,,,,,Data visualization designer. loves maps and anything low-poly.
2,Gephi,https://gephi.org/,https://gephi.org/css/images/illustrations/home_screenshot.jpg,tools,networks,,,,,,,,,,,,Gephi is the leading visualization and exploration software for all kinds of graphs and networks. Gephi is open-source and free.
3,Osomi,https://osome.iuni.iu.edu/tools/,https://osome.iuni.iu.edu/highlights/img/brexit.png,tutorial,"social media analysis, networks",,,,,,,,,,,,Our ambition is to position future reporters to uncover newsworthy information that is otherwise invisible to public scrutiny and empower citizens.
4,A Beginner’s Guide to Data Journalism: Let’s Build a Story From Scratch,https://medium.com/free-code-camp/data-journalism-isnt-for-the-select-let-s-work-out-a-story-together-from-scratch-dd85b3017f4a,https://miro.medium.com/max/1024/1*07n6A78xm2DwOM0mbeGvVA.jpeg,tutorial,,,,,,,,,,,,,This is an introductory guide on how to produce the beginnings of a piece of data journalism. 
5,Figma,https://www.figma.com/,https://upload.wikimedia.org/wikipedia/commons/a/ad/Figma-1-logo.png,tools,mockups,free/paid,,,,,,,,,,,"Figma helps teams create, test, and ship better designs from start to finish."
1,Data Basic,https://databasic.io/en/,https://databasic.io/static/img/data_basic_logo_512.png,tutorial,text,,,,,,,,,,,,DataBasic is a suite of easy-to-use web tools for beginners that introduce concepts of working with data.
